Nombre del Campo,Tipo de Dato,Longitud,Descripción,Restricción,Ejemplo
age,DECIMAL,N/A,Edad del paciente en años.,"Not Null, Rango: [29.6 - 64.9]",50.4
bmi,DECIMAL,N/A,Índice de Masa Corporal (kg/m²).,"Not Null, Rango: [12.3 - 69.5]",21.9671201814059
ap_hi,DECIMAL,N/A,Presión arterial sistólica (mmHg).,"Not Null, Rango: [70.0 - 240.0]",110.0
ap_lo,DECIMAL,N/A,Presión arterial diastólica (mmHg).,"Not Null, Rango: [40.0 - 150.0]",80.0
cholesterol,INT,N/A,"Colesterol (ordinal: 1=normal, 2=por encima de lo normal, 3=muy alto).","Not Null, Rango: [1.0 - 3.0]",1
gluc,INT,N/A,"Glucosa (ordinal: 1=normal, 2=por encima de lo normal, 3=muy alta).","Not Null, Rango: [1.0 - 3.0]",1
smoke,INT,N/A,"Fumador (0=No, 1=Sí).","Not Null, Binario (0, 1)",0
alco,INT,N/A,"Consumo de alcohol (0=No, 1=Sí).","Not Null, Binario (0, 1)",0
active,INT,N/A,"Actividad física habitual (0=No, 1=Sí).","Not Null, Binario (0, 1)",1
gender_Female,INT,N/A,"Variable dummy: Género Femenino (0=No, 1=Sí).","Not Null, Binario (0, 1)",0
gender_Male,INT,N/A,"Variable dummy: Género Masculino (0=No, 1=Sí).","Not Null, Binario (0, 1)",1
target,INT,N/A,"Variable objetivo (Clase a predecir: 0=Negativo, 1=Positivo).","Not Null, Binario (0, 1)",0
